settimana	ricoverati_con_sintomi	terapia_intensiva	totale_ospedalizzati	isolamento_domiciliare	totale_positivi	variazione_totale_positivi	nuovi_positivi	dimessi_guariti	deceduti	casi_da_sospetto_diagnostico	casi_da_screening	totale_casi	tamponi	casi_testati	note	tamponi sett	positivi sett	casi testati	tasso	tasso/casi test	morti sett	Rt casi	Rt osp	Rt tasso	Media 4 sett	variazione media	media morti	variazione media	variaz osp	var terpint
10	7525	680	8205	27236	35441	534	1116	24589	13449	0	0	73479	342850	211523	0	72364	6508	38190	8.99342214360732	17.0411102382823	1073	0.977617545440889	0.743273847268774	0.974312705058311	35088.8467397573	8.83800280825118	1657.75	-35.2737143718896	-2834	-221
11	6414	532	6946	30361	37307	309	859	26504	14294	0	0	78105	418835	251661	0	75985	4626	40138	6.08804369283411	11.5252379291445	845	0.710817455439459	0.846556977452773	0.676319662744356	38085.2141229121	5.38998118919061	1273	-33.6213668499607	-1259	-148
12	5397	341	5738	24673	30411	-28	690	36406	15054	0	0	81871	492642	292603	0	73807	3766	40942	5.10249705312504	9.19837819354208	760	0.814094249891915	0.826086956521739	0.798107444730636	39332.7246345467	4.09144136442519	1038.25	-26.7999036840838	-1208	-191
13	4482	252	4734	22339	27073	-373	460	42403	15543	0	0	85019	581437	343213	0	88795	3148	50610	3.54524466467706	6.22011460185734	489	0.835900159320234	0.825026141512722	0.676218619302292	42470	19.1664704497292	791.75	-38.238080202084	-1004	-89
14	3721	196	3917	21298	25215	-1212	358	46169	15874	0	0	87258	675882	400252	0	94445	2239	57039	2.37069193710625	3.92538438612178	331	0.711245235069886	0.827418673426278	0.631079109852678	47182.25	20.890801095751	606.25	-45.4020618556701	-817	-56
15	3085	167	3252	17609	20861	-214	175	52026	16131	0	0	89018	757446	447874	0	81564	1760	47622	2.15781472218135	3.69577086220654	257	0.786065207682001	0.830227214705131	0.941505467661452	49053.25	-2.91774754985653	459.25	-44.0391943385955	-665	-29
16	2708	107	2815	16504	19319	-897	438	54768	16302	0	0	90389	826465	489775	0	69019	1371	41901	1.98640953940219	3.27199828166392	171	0.778977272727273	0.865621156211562	0.885335807780678	49293	-14.9960440630516	312	-45.1923076923077	-437	-60
17	2018	94	2112	13864	15976	-81	387	59484	16457	0	0	91917	899278	534981	0	72813	1528	45206	2.09852636205073	3.38008228996151	155	1.11451495258935	0.750266429840142	1.03303302721865	47942	-5.70689583246423	228.5	-32.1663019693654	-703	-13
18	1047	51	1098	12540	13638	-250	240	62900	16573	0	0	93111	964735	575981	0	65457	1194	41000	1.8240982629818	2.91219512195122	116	0.781413612565445	0.519886363636364	0.8615752138935	43932.25	-6.67448173039168	174.75	-33.6194563662375	-1014	-43
19	321	43	364	10459	10823	-105	176	66376	16640	88821	5018	93839	1030431	615813	0	65696	728	39832	1.10813443740867	1.82767624020888	67	0.609715242881072	0.331511839708561	0.627594018832194	41984.75	-5.12745699331305	127.25	-47.3477406679764	-734	-8
20	233	36	269	9223	9492	-161	188	68335	16700	88967	5560	94527	1088960	651688	0	58529	688	35875	1.17548565668301	1.91777003484321	60	0.945054945054945	0.739010989010989	1.04929417620707	40478.25	-11.3721566520292	99.5	-39.6984924623116	-95	-7
21	168	30	198	7813	8011	-8	127	70375	16757	89209	5934	95143	1149414	689917	0	60454	616	38229	1.01895656201409	1.61134217478877	57	0.895348837209302	0.736059479553903	0.840216577333535	38734	-1.30376413486859	75	-24	-71	-6
22	151	21	172	6969	7141	-103	130	71611	16796	89367	6181	95548	1206495	724365	0	57081	405	34448	0.709518053292689	1.1756850905713	39	0.657467532467532	0.868686868686869	0.729630930640423	37096	-7.13823592840198	55.75	-30.0448430493274	-26	-9
23	137	14	151	6574	6725	-180	72	72429	16801	89531	6424	95955	1265549	759439	0	59054	407	35074	0.689199715514614	1.16040371785368	5	1.00493827160494	0.877906976744186	0.987002154879595	35906.5	-2.31852171612382	40.25	-87.5776397515528	-21	-7
